date,gerceklesen,iyimser,normal,kotumser
2025-06-01,3186470.89,3402055.4299999997,3190634.4299999997,3137946.2199999997
2025-06-02,3223277.81,3403650.4099999997,3210191.2199999997,3130373.3099999996
2025-06-03,3250075.48,3385355.53,3165710.7399999998,3112368.0799999996
2025-06-04,3249069.12,3309383.9699999997,3123482.07,3032536.05
2025-06-05,2578525.25,2665969.73,2493015.5599999996,2382376.9499999997
2025-06-06,2614357.88,2747234.1399999997,2525754.96,2418588.34
2025-06-07,2538349.47,2687962.05,2492801.0599999996,2366488.08
2025-06-08,2587185.18,2689250.1999999997,2512330.4299999997,2395405.4699999997
2025-06-09,2640986.17,2733841.17,2579541.07,2424571.08
2025-06-10,2657239.68,2738110.65,2595043.62,2434446.86
2025-06-11,2699142.99,2802347.4099999997,2589632.63,2425726.98
2025-06-12,2723002.2,2794562.78,2561376.09,2420244.26
2025-06-13,2648522.53,2783796.34,2504039.8899999997,2360349.09
2025-06-14,2581435.28,2746862.11,2478656.79,2341767.94
2025-06-15,2588808.02,2772570.67,2544663.23,2389370.57
2025-06-16,2631044.43,2963773.46,2574479.61,2419579.3499999996
2025-06-17,-23248.64,283597.68999999994,-15577.270000000019,-210932.3200000003
2025-06-18,-59780.4,229066.68999999994,-46701.200000000186,-216720.28000000026
2025-06-19,-31830.09,244240.93999999994,-38341.69000000041,-147855.8200000003
2025-06-20,-1803.58,259671.43999999994,-30181.360000000335,-114734.28000000026
2025-06-21,76205.74,277370.4199999999,-21532.570000000298,-74569.19000000041
2025-06-22,87479.37,333021.71999999974,-7689.9900000002235,-44418.250000000466
2025-06-23,111017.95,351542.13999999966,1651.6499999999069,-49999.72000000067
2025-06-24,129016.27,359132.81999999983,82209.04999999981,-41339.13000000082
2025-06-25,169512.69,357646.31000000006,90434.46999999974,17306.339999999385
2025-06-26,198580.75,408540.56999999983,96152.49999999953,26223.09999999916
2025-06-27,211183.22,500547.81000000006,185221.14999999944,91027.3899999992
2025-06-28,230657.36,572064.71,247236.41999999946,163565.17999999924
2025-06-29,223910.09,527151.3300000001,237939.0599999996,135685.44999999925
2025-06-30,281123.5,600081.3399999999,310188.14999999944,211818.62999999942
