date,0_baseline,1_erken_odeme,2_tahsilat_kampanya,3_faktoring,4_tedarikci_bolme,5_kombine_cozum,6_tahsilat_yavaslama,7_kur_soku
2025-06-01,3294514.3499999996,3294514.3499999996,3294514.3499999996,3465514.3499999996,3294514.3499999996,3294514.3499999996,3102688.54,3294514.3499999996
2025-06-02,3316920.69,3316920.69,3316920.69,3487920.69,3316920.69,3316920.69,3070127.8299999996,3316920.69
2025-06-03,3325342.59,3325342.59,3325342.59,3496342.59,3325342.59,3325342.59,3020374.1999999997,3325342.59
2025-06-04,3314476.1999999997,3314476.1999999997,3314476.1999999997,3485476.1999999997,3314476.1999999997,3314476.1999999997,2918985.3699999996,3314476.1999999997
2025-06-05,2613892.11,2613892.11,2617231.4698,2784892.11,2613892.11,2613892.11,2189565.54,2613892.11
2025-06-06,2677154.9299999997,2677154.9299999997,2680494.2898,2848154.9299999997,2677154.9299999997,2677154.9299999997,2182754.34,2677154.9299999997
2025-06-07,2619896.9,2619896.9,2623236.2598,2790896.9,2619896.9,2619896.9,2075050.9899999998,2619896.9
2025-06-08,2572232.06,2572232.06,2581271.3448,2743232.0599999996,2572232.06,2572232.06,2000843.5499999998,2572232.06
2025-06-09,2641586.42,2641586.42,2650625.7048,2812586.42,2641586.42,2641586.42,1993309.14,2641586.42
2025-06-10,2715031.8899999997,2715031.8899999997,2724071.1747999997,2886031.8899999997,2715031.8899999997,2715031.8899999997,1964244.7899999998,2715031.8899999997
2025-06-11,2774716.65,2774716.65,2783755.9348,2945716.65,2774716.65,2774716.65,1929008.0599999998,2774716.65
2025-06-12,2744464.58,2744464.58,2753503.8647999996,2915464.5799999996,2744464.58,2744464.58,1868396.9499999997,2744464.58
2025-06-13,2647951.27,2647951.27,2656990.5548,2818951.2699999996,2647951.27,2647951.27,1783888.8599999996,2647951.27
2025-06-14,2581834.59,2581834.59,2590873.8748,2752834.59,2581834.59,2581834.59,1723898.5199999996,2581834.59
2025-06-15,2573844.8899999997,2573844.8899999997,2582884.1748,2744844.8899999997,2573844.8899999997,2573844.8899999997,1695630.2399999995,2573844.8899999997
2025-06-16,2646928.52,2823328.52,2832367.8048,2817928.5199999996,2646928.52,2823328.52,1756035.4899999995,2646928.52
2025-06-17,56639.98000000045,233039.98000000045,242079.26480000047,227639.98000000045,1392639.98,1569039.98,-874298.9900000002,-213232.01999999955
2025-06-18,7717.340000000317,184117.34000000032,193156.62480000034,178717.34000000032,1343717.34,1520117.34,-894786.0,-262154.6599999997
2025-06-19,51736.89000000013,228136.89000000013,237176.17480000015,222736.89000000013,1387736.8900000001,1564136.8900000001,-804263.56,-218135.10999999987
2025-06-20,72507.84000000032,248907.84000000032,257947.12480000034,243507.84000000032,1408507.84,1584907.84,-812906.1800000002,-197364.15999999968
2025-06-21,81149.31000000052,257549.31000000052,266588.59480000054,252149.31000000052,1417149.31,1593549.31,-757452.8600000003,-188722.68999999948
2025-06-22,73300.51000000071,249700.5100000007,258739.79480000073,244300.5100000007,1409300.51,1585700.51,-747849.9600000004,-196571.4899999993
2025-06-23,104127.25000000093,280527.25000000093,289566.53480000095,275127.25000000093,1440127.25,1616527.25,-752647.1400000006,-165744.74999999907
2025-06-24,166125.95000000112,342525.9500000011,351565.23480000114,337125.9500000011,1502125.95,1678525.95,-709628.0500000007,-103746.04999999888
2025-06-25,190684.10000000102,367084.100000001,376123.38480000105,361684.100000001,1526684.0999999999,1703084.0999999999,-620044.5100000007,-79187.89999999898
2025-06-26,269099.40000000084,445499.40000000084,451131.1748000011,440099.40000000084,1605099.4,1781499.4,-539177.6100000008,-772.5999999991618
2025-06-27,312193.2100000009,488593.2100000009,494224.98480000114,483193.2100000009,312193.20999999996,488593.20999999996,-494200.0100000007,42321.210000000894
2025-06-28,319959.57000000076,496359.57000000076,501991.344800001,490959.57000000076,319959.56999999983,496359.56999999983,-505003.80000000075,50087.570000000764
2025-06-29,289730.17000000086,466130.17000000086,465945.6948000011,460730.17000000086,289730.1699999999,466130.1699999999,-517679.72000000067,19858.170000000857
2025-06-30,320434.52000000095,496834.52000000095,496650.0448000012,491434.52000000095,320434.52,496834.52,-465029.10000000056,50562.52000000095
