product_id,product_name,category,current_stock,reorder_point,lead_time_days,ewma_daily_demand,projected_demand_30d,days_to_reorder,days_to_zero,order_by_date,reorder_date,depletion_date,unit_cost,stockout_cost_30d,risk_level
1,Ham Kumas - ND-7234,Ham Kumas,0,193,5,0.2,84.9,0.0,0.0,2025-06-30,2025-06-30,2025-06-30,64.84,5504.92,KRITIK
17,Hazir Giyim - CA-0164,Hazir Giyim,111,45,20,15.33,402.2,4.9,9.0,2025-06-30,2025-07-04,2025-07-09,107.48,31298.18,ORTA
20,Hazir Giyim - LJ-2805,Hazir Giyim,56,47,8,7.8,174.3,1.5,9.0,2025-06-30,2025-07-01,2025-07-09,82.55,9765.67,ORTA
59,Iplik - ZM-6688,Iplik,73,72,21,9.48,205.7,0.1,9.0,2025-06-30,2025-06-30,2025-07-09,299.26,39711.8,ORTA
34,Ham Kumas - XB-0883,Ham Kumas,150,107,22,15.05,447.7,2.9,10.0,2025-06-30,2025-07-02,2025-07-10,73.33,21830.34,ORTA
54,Ham Kumas - IJ-5581,Ham Kumas,200,106,18,17.93,503.7,5.6,12.0,2025-06-30,2025-07-05,2025-07-12,201.59,61222.88,ORTA
6,Aksesuar - AQ-9091,Aksesuar,206,140,10,18.35,494.8,4.0,14.0,2025-06-30,2025-07-04,2025-07-14,184.2,53196.96,ORTA
7,Aksesuar - QN-9985,Aksesuar,157,106,22,10.42,267.9,5.7,15.0,2025-06-30,2025-07-05,2025-07-15,52.09,5776.78,DUSUK
52,Ham Kumas - OP-3487,Ham Kumas,187,122,10,12.18,374.9,5.2,15.0,2025-06-30,2025-07-05,2025-07-15,223.71,42035.11,DUSUK
3,Aksesuar - KD-9788,Aksesuar,167,83,22,10.27,297.5,8.5,15.0,2025-06-30,2025-07-08,2025-07-15,190.76,24894.18,DUSUK
35,Boya/Kimyasal - QH-1595,Boya/Kimyasal,231,168,22,13.92,443.2,4.3,16.0,2025-06-30,2025-07-04,2025-07-16,374.55,79479.51,DUSUK
49,Ham Kumas - JM-7278,Ham Kumas,74,48,6,4.76,133.8,5.8,16.0,2025-06-30,2025-07-05,2025-07-16,336.71,20135.26,DUSUK
9,Boya/Kimyasal - AD-4751,Boya/Kimyasal,220,188,10,13.82,405.4,2.4,16.0,2025-06-30,2025-07-02,2025-07-16,84.83,15727.48,DUSUK
48,Boya/Kimyasal - PH-8708,Boya/Kimyasal,160,99,21,10.67,262.0,7.0,16.0,2025-06-30,2025-07-06,2025-07-16,38.72,3949.44,DUSUK
